 unemployment, 4
 from, 3
 money, 2
 contemporary, 2
 0fn, 4
 82yr, 5
 through, 2
 statistical, 2
 using, 3
 11pgs, 2
 its, 2
 title, 2
 to, 12
 production, 2
 10740, 2
 food, 3
 inflation, 3
 report, 2
 during, 2
 difference, 2
 econometrics, 2
 term, 2
 79yr, 3
 paper, 7
 including, 3
 security, 2
 econometric, 4
 financial, 3
 thesis, 2
 klopmans, 2
 national, 3
 prediction, 2
 rate, 4
 economic, 15
 10s, 3
 13425, 3
 employment, 2
 insurance, 3
 subject, 2
 category, 2
 6fn, 2
 6265, 7
 for, 6
 factors, 3
 federal, 2
 review, 2
 forecast, 2
 looking, 2
 bureau, 2
 between, 3
 math, 2
 7pgs, 7
 3580, 2
 terms, 3
 business, 4
 commercial, 2
 standard, 2
 anthropology, 3
 9845, 2
 modeling, 3
 4pgs, 2
 arena, 2
 0s, 3
 world, 3
 of, 50
 study, 6
 economics, 5
 etc, 3
 american, 3
 social, 2
 8pgs, 2
 whole, 2
 forecasting, 3
 10fn, 2
 period, 2
 9s, 3
 methods, 3
 macroeconomics, 2
 use, 3
 statistics, 4
 7fn, 3
 80yr, 2
 stamp, 3
 12pgs, 2
 charts, 3
 program, 3
 rates, 9
 interest, 10
 examination, 3
 urban, 2
 life, 2
 that, 3
 6s, 2
 15pgs, 3
 demand, 2
 with, 6
 this, 4
 science, 4
 7160, 2
 trends, 4
 theories, 2
 behavior, 4
 11635, 2
 and, 32
 examines, 6
 tax, 2
 90yr, 2
 an, 10
 as, 8
 7s, 5
 at, 3
 in, 13
 regression, 4
 81yr, 3
 afn, 2
 click, 2
 phillips, 4
 income, 5
 mathematics, 3
 85yr, 3
 economy, 7
 product, 2
 literature, 2
 multiple, 4
 gross, 2
 models, 2
 problems, 3
 effect, 3
 includes, 2
 applications, 3
 20fn, 2
 on, 8
 data, 2
 model, 5
 identity, 2
 1977, 2
 studies, 3
 required, 2
 curve, 5
 4s, 2
 analysis, 7
 graphs, 2
 13pgs, 2
 the, 57
 78yr, 4
